country,sitename,province,locname,loclong,loclat,recs,presses,post_0,ante_0,post_1,ante_1
Portugal,"Sao Cucufate",Lusitania,none,-5.93333333,43.4666666,1,2,-999,999,-999,999
Spain,"Aldea Quintana","Hispania Baetica","Torre de Don Lucas",-4.86592,37.697792,1,2,-999,999,9999,399
Spain,Burguillos,"Hispania Baetica",Torreon,-5.950816,37.585734,1,2,1,499,1,499
Spain,Cartagena,"Hispania Tarraconensis","El Molinete",-0.985793,37.602889,1,2,-999,999,-999,999
Spain,"El Viso del Alcor","Hispania Baetica","Huerta de la Fabiana",-5.708504,37.395966,1,2,-999,999,9999,399
Spain,Falces,"Hispania Tarraconensis","Villa de Los Villares",-1.8,42.3833333,1,3,-999,999,-999,999
Spain,"Fuente Palmera","Hispania Baetica","Finca Marta",-5.081453,37.67008,1,2,-999,999,-999,999
Spain,"Fuente Palmera","Hispania Baetica","Santa Magdalena",-5.095334,37.714663,1,2,-999,999,-999,999
Spain,"Haza de Los Laticos","Hispania Baetica",none,-5.13194444,37.7916666,1,3,-999,999,9999,399
Spain,Hornachuelos,"Hispania Baetica","Cortijo de Monte Alto",-5.270844,37.78357,1,2,-999,999,-999,999
Spain,Jumilla,"Hispania Tarraconensis","Villa de La Alberca de Lo Roman",-1.13333333,37.9833333,1,2,-999,999,-999,999
Spain,"La Moncloa","Hispania Baetica",none,-5.29666666,37.5325,1,2,1,799,1,799
Spain,"Las Eras de S. Martin","Hispania Tarraconensis",Alfaro,-1.74916666,42.1783333,1,2,-999,999,-999,999
Spain,"Palma del Rio","Hispania Baetica","Cortijo del Remolino",-5.233596,37.72297,1,2,-999,999,-999,999
Spain,Posadas,"Hispania Baetica","Casa de Guarda",-5.166364,37.781793,1,2,-999,999,9999,399
Spain,"San Pol del Mar",Lusitania,"El Morè",2.628852,41.611822,1,2,-999,999,-999,999
Spain,Torrepalma,"Hispania Baetica","Huerta de la Torrecilla",-5.823035,37.392653,1,2,1,399,1,399
Spain,Vallmora,"Hispania Tarraconensis",Teia,2.3125,41.4911111,1,6,-100,399,-100,399
Spain,Villalón,"Hispania Baetica","Cortijo del Bramadero",-5.141972,37.715221,1,4,-100,399,-100,399
Syria,"Hirbert Dureijat",Iudaea,none,35.63333333,33.0166666,1,6,-999,999,-999,999
Tunisia,Agbia,"Africa Proconsularis",none,9.25207514,36.4053049,1,2,300,700,300,700
Tunisia,"Ain Hammam","Africa Proconsularis",none,9.14187892,36.4005967,1,5,-999,999,-999,999
Tunisia,"Ain Hammam","Africa Proconsularis",none,9.15785502,36.3959791,1,3,-999,999,-999,999
Tunisia,"Ain Wassel","Africa Proconsularis",none,9.11558114,36.4612822,1,8,-200,-40,530,690
Tunisia,"Ain Wassel","Africa Proconsularis",none,9.13739121,36.4610909,1,5,-200,-40,530,690
Tunisia,Aunobari,"Africa Proconsularis",none,9.1935591,36.3980969,1,2,100,700,100,700
Tunisia,Aunobari,"Africa Proconsularis",none,9.19716902,36.4013479,1,2,-999,999,-999,999
Tunisia,"Ben Gardane","Africa Proconsularis","Henchir Bou Garmin",11.302077,33.193102,1,2,-999,999,-999,999
Tunisia,Cillium,"Africa Proconsularis","Henchir Bou Sofa",8.764667,35.054183,1,6,-999,999,-999,999
Tunisia,"Djebel Gorra","Africa Proconsularis","De Vos 51",9.1708657,36.4669244,1,2,100,300,300,450
Tunisia,"Djebel Gorra","Africa Proconsularis",none,9.10722982,36.4649542,1,2,-999,999,-999,999
