time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-19T03:12:01.180Z,33.1666667,-115.9611667,3.81,1.33,ml,34,105,0.1265,0.3,ci,ci37706719,2017-07-19T03:22:43.180Z,"15km S of Salton City, CA",earthquake,0.55,2.04,0.183,27,automatic,ci,ci
2017-07-19T02:55:25.160Z,18.8463,-64.6506,32,2.35,md,3,323,0.8305,0.07,pr,pr2017200000,2017-07-19T03:54:23.380Z,"Virgin Islands region",earthquake,2.89,7.13,0.24,3,reviewed,pr,pr
2017-07-19T02:43:38.560Z,17.8151,-66.9113,8,2.16,md,4,294,0.2037,0.34,pr,pr2017200001,2017-07-19T05:01:58.362Z,"Puerto Rico region",earthquake,2.34,27.67,0.13,3,reviewed,pr,pr
2017-07-19T02:37:36.220Z,37.512001,-118.8205032,1.3,1.46,md,12,199,0.07819,0.03,nc,nc72841891,2017-07-19T04:36:02.672Z,"Central California",earthquake,0.45,1.51,0.21,11,automatic,nc,nc
2017-07-19T02:36:06.280Z,-13.3702,167.1978,228.44,4.7,mb,,71,7.366,0.91,us,us20009xsv,2017-07-19T03:04:54.040Z,"Vanuatu",earthquake,8.7,7.7,0.061,82,reviewed,us,us
2017-07-19T02:01:19.850Z,53.3998,169.5747,28.96,4,mb,,166,2.813,0.59,us,us20009xsj,2017-07-19T03:28:56.040Z,"Komandorskiye Ostrova, Russia region",earthquake,14.1,4.7,0.116,20,reviewed,us,us
2017-07-19T01:51:37.530Z,37.786,-117.7002,3.6,1.6,ml,20,100.61,0.475,,nn,nn00596521,2017-07-19T01:53:31.295Z,"Nevada",earthquake,,,,,automatic,nn,nn
2017-07-19T01:38:02.450Z,-13.612,-77.0647,10,4.2,mb,,211,1.629,0.79,us,us20009xsf,2017-07-19T04:07:29.860Z,"off the coast of central Peru",earthquake,5.4,2,0.304,3,reviewed,us,us
2017-07-19T01:20:53.530Z,33.9455,-116.8246667,7.04,1.09,ml,33,49,0.09052,0.18,ci,ci37706679,2017-07-19T01:24:34.510Z,"5km NW of Cabazon, CA",earthquake,0.24,1.08,0.181,29,automatic,ci,ci
2017-07-19T01:14:43.710Z,37.4625015,-118.8209991,-0.8,1.62,md,21,174,0.08293,0.03,nc,nc72841806,2017-07-19T03:15:04.476Z,"Central California",earthquake,0.63,6.85,0.1,18,automatic,nc,nc
2017-07-19T00:55:29.490Z,38.8223343,-122.8028336,2.36,1.87,md,37,48,0.005754,0.03,nc,nc72841791,2017-07-19T01:03:04.191Z,"Northern California",earthquake,0.18,0.31,0.22,13,automatic,nc,nc
2017-07-19T00:54:02.850Z,12.9048,58.0477,10,5,mb,,62,12.104,1.24,us,us20009xs9,2017-07-19T01:13:13.040Z,"Owen Fracture Zone region",earthquake,9.1,1.8,0.051,124,reviewed,us,us
2017-07-19T00:32:41.820Z,37.4666672,-118.8203354,-0.19,1.27,md,11,200,0.08125,0.05,nc,nc72841751,2017-07-19T02:48:01.447Z,"Central California",earthquake,0.64,7.4,0.1,11,automatic,nc,nc
